Car: 0, distance: 0.54km, time: 0.64min, steps: 385
Car: 1, distance: 0.54km, time: 0.64min, steps: 385
Car: 2, distance: 0.54km, time: 0.64min, steps: 385
Car: 3, distance: 0.82km, time: 0.98min, steps: 586
Car: 4, distance: 0.54km, time: 0.64min, steps: 385
Car: 5, distance: 0.95km, time: 1.10min, steps: 660
Car: 6, distance: 0.54km, time: 2.51min, steps: 1507
Car: 7, distance: 0.54km, time: 2.16min, steps: 1293
Car: 8, distance: 0.54km, time: 1.80min, steps: 1079
Car: 9, distance: 0.54km, time: 1.09min, steps: 652
Car: 10, distance: 1.18km, time: 3.97min, steps: 2384
Car: 11, distance: 1.18km, time: 3.62min, steps: 2170
Car: 12, distance: 1.18km, time: 3.26min, steps: 1956
Car: 13, distance: 0.92km, time: 3.51min, steps: 2105
Car: 14, distance: 1.21km, time: 2.95min, steps: 1772
Car: 15, distance: 0.92km, time: 3.15min, steps: 1892
Car: 16, distance: 1.21km, time: 2.23min, steps: 1337
Car: 17, distance: 0.92km, time: 2.80min, steps: 1680
Car: 18, distance: 0.92km, time: 2.44min, steps: 1465
Car: 19, distance: 0.92km, time: 4.36min, steps: 2617
Car: 20, distance: 0.92km, time: 1.72min, steps: 1031
Car: 21, distance: 0.92km, time: 1.36min, steps: 817
Car: 22, distance: 0.82km, time: 1.01min, steps: 606
Car: 23, distance: 0.92km, time: 1.45min, steps: 871
Car: 24, distance: 0.92km, time: 1.15min, steps: 689
Car: 25, distance: 1.19km, time: 3.80min, steps: 2278
Car: 26, distance: 1.33km, time: 5.63min, steps: 3377
Car: 27, distance: 0.97km, time: 4.91min, steps: 2943
Car: 28, distance: 0.97km, time: 4.55min, steps: 2729
Car: 29, distance: 0.97km, time: 3.83min, steps: 2295
Car: 30, distance: 0.97km, time: 3.10min, steps: 1858
Car: 31, distance: 0.97km, time: 2.39min, steps: 1432
Car: 32, distance: 0.54km, time: 4.17min, steps: 2503
Car: 33, distance: 0.54km, time: 3.46min, steps: 2076
Car: 34, distance: 0.54km, time: 2.75min, steps: 1648
Car: 35, distance: 0.54km, time: 2.03min, steps: 1220
Car: 36, distance: 0.54km, time: 1.68min, steps: 1006
Car: 37, distance: 0.54km, time: 1.32min, steps: 792
Car: 38, distance: 0.54km, time: 0.96min, steps: 578
Car: 39, distance: 0.54km, time: 0.64min, steps: 385
Car: 40, distance: 0.97km, time: 1.20min, steps: 722
Car: 41, distance: 0.54km, time: 0.64min, steps: 385
Car: 42, distance: 0.95km, time: 2.92min, steps: 1751
Car: 43, distance: 0.97km, time: 3.75min, steps: 2251
Car: 44, distance: 0.97km, time: 3.40min, steps: 2037
Car: 45, distance: 0.82km, time: 5.92min, steps: 3554
Car: 46, distance: 0.82km, time: 5.20min, steps: 3121
Car: 47, distance: 0.82km, time: 1.16min, steps: 697
Car: 48, distance: 0.82km, time: 0.98min, steps: 586
Car: 49, distance: 0.54km, time: 0.64min, steps: 385
Car: 50, distance: 0.54km, time: 3.60min, steps: 2159
Car: 51, distance: 0.54km, time: 2.53min, steps: 1517
Car: 52, distance: 0.54km, time: 2.17min, steps: 1303
Car: 53, distance: 0.54km, time: 1.82min, steps: 1089
Car: 54, distance: 0.54km, time: 1.46min, steps: 875
Car: 55, distance: 0.94km, time: 5.79min, steps: 3472
Car: 56, distance: 0.54km, time: 0.68min, steps: 407
Car: 57, distance: 0.92km, time: 1.57min, steps: 944
Car: 58, distance: 0.54km, time: 0.68min, steps: 407
Car: 59, distance: 0.99km, time: 7.22min, steps: 4332
Car: 60, distance: 0.99km, time: 4.37min, steps: 2620
Car: 61, distance: 0.99km, time: 2.23min, steps: 1337
Car: 62, distance: 1.18km, time: 5.98min, steps: 3585
Car: 63, distance: 1.21km, time: 5.32min, steps: 3189
Car: 64, distance: 0.82km, time: 5.60min, steps: 3359
Car: 65, distance: 0.82km, time: 4.51min, steps: 2703
Car: 66, distance: 1.19km, time: 6.61min, steps: 3966
Car: 67, distance: 1.21km, time: 1.40min, steps: 839
Car: 68, distance: 1.19km, time: 5.52min, steps: 3313
Car: 69, distance: 0.92km, time: 3.86min, steps: 2316
Car: 70, distance: 1.54km, time: 9.72min, steps: 5832
Car: 71, distance: 2.11km, time: 5.50min, steps: 3297
Car: 72, distance: 1.21km, time: 1.40min, steps: 839
Car: 73, distance: 0.82km, time: 3.29min, steps: 1971
Car: 74, distance: 0.82km, time: 2.93min, steps: 1757
Car: 75, distance: 0.82km, time: 2.22min, steps: 1329
Car: 76, distance: 0.82km, time: 1.86min, steps: 1115
Car: 77, distance: 1.21km, time: 1.40min, steps: 839
Car: 78, distance: 0.99km, time: 1.17min, steps: 699
Car: 79, distance: 0.82km, time: 1.01min, steps: 606
Car: 80, distance: 2.15km, time: 10.12min, steps: 6070
Car: 81, distance: 2.15km, time: 9.02min, steps: 5414
Car: 82, distance: 2.72km, time: 8.81min, steps: 5288
Car: 83, distance: 1.19km, time: 7.26min, steps: 4353
Car: 84, distance: 1.19km, time: 5.81min, steps: 3483
Car: 85, distance: 0.97km, time: 2.45min, steps: 1469
Car: 86, distance: 1.79km, time: 11.91min, steps: 7145
Car: 87, distance: 0.54km, time: 4.48min, steps: 2685
Car: 88, distance: 0.54km, time: 3.41min, steps: 2043
Car: 89, distance: 0.54km, time: 2.34min, steps: 1401
Car: 90, distance: 0.54km, time: 1.62min, steps: 974
Car: 91, distance: 0.54km, time: 0.91min, steps: 546
Car: 92, distance: 0.97km, time: 6.81min, steps: 4084
Car: 93, distance: 0.97km, time: 2.80min, steps: 1680
Car: 94, distance: 0.97km, time: 2.45min, steps: 1467
Car: 95, distance: 0.54km, time: 0.64min, steps: 385
Car: 96, distance: 0.95km, time: 7.22min, steps: 4330
Car: 97, distance: 1.05km, time: 10.62min, steps: 6372
Car: 98, distance: 1.05km, time: 10.27min, steps: 6159
Car: 99, distance: 1.04km, time: 5.75min, steps: 3452
